PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,piece_count,pawn_count,what_mate,white_pieces,black_pieces
9l6PW,5K2/8/2B2pk1/5R2/4P3/8/8/1b2r3 w - - 9 72,g5g6 c6e8 g6h7 f5h5,1316,74,92,816,endgame mate mateIn2 short,https://lichess.org/D73JHBXg/black#141,,8,2,2,4,4
ftCHN,8/8/8/8/3Q4/2K5/4r3/1q2k3 w - - 0 75,b2b1q d4g1,1312,75,77,225,endgame master mate mateIn1 oneMove,https://lichess.org/hYtzJ1wl/black#147,,5,0,1,2,3
xlz6x,7r/6R1/5kp1/5r2/3K4/8/8/6R1 w - - 6 60,g5f6 g1g6,1304,75,93,3752,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/meIk5V9R/black#117,,7,1,1,3,4
mOi9y,8/8/3NpR2/4P1k1/1r4bp/8/8/6K1 w - - 3 46,g6g5 d6f7 g5h5 f6h6,1296,75,81,249,endgame mate mateIn2 short,https://lichess.org/jDWtuDIR/black#89,,9,3,2,4,5
HvI3p,8/8/r7/8/8/2N5/2K5/kq4R1 w - - 0 69,b2b1q g1b1,1294,78,92,3703,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/JKXSXswH/black#135,,6,0,1,3,3
nuaIq,8/8/6pp/3r2k1/2nB1R2/4P3/7K/8 w - - 3 49,f5g5 d4f6 g5h5 f4h4,1282,78,97,19335,endgame mate mateIn2 short,https://lichess.org/JXqAV41Z/black#95,,9,3,2,4,5
rvxEc,2R5/4kn2/2K5/5p2/8/1rN5/8/8 w - - 2 55,e8e7 c3d5 e7e6 c8e8,1281,75,91,1211,endgame mate mateIn2 short,https://lichess.org/r7PTDD6E/black#107,,7,1,2,3,4
kwAYR,8/1r2B3/8/6R1/8/7b/5K1k/8 w - - 7 54,f5h3 e7d6 h2h1 g5g1,1280,75,86,1225,endgame mate mateIn2 short,https://lichess.org/EapylG64/black#105,,6,0,2,3,3
sJRCh,5n1k/1R5P/r5P1/7K/8/8/8/8 w - - 2 73,g7h8 g6g7 h8h7 g7f8q,1277,76,96,7454,advancedPawn discoveredAttack endgame fork mate mateIn2 promotion short,https://lichess.org/kLlLirjI/black#143,,7,2,2,4,3
Tk756,5kr1/R7/2n2K2/8/8/8/8/8 w - - 13 78,e5c6 a7a8 c6b8 a8b8,1271,76,96,10801,endgame mate mateIn2 short,https://lichess.org/5XH3ITkc/black#153,,5,0,2,2,3
mpVa8,6K1/2k5/5R1r/6R1/8/7r/8/8 w - - 0 64,h4h6 g5g7 c7d8 f6f8,1270,74,94,5800,endgame mate mateIn2 rookEndgame short,https://lichess.org/aQi6ptbN/black#125,,6,0,2,3,3
bpdid,8/5K1k/3q2p1/8/8/6R1/4r3/8 w - - 0 64,c6d6 g3h3,1269,150,76,38,endgame master masterVsMaster mate mateIn1 oneMove queenRookEndgame,https://lichess.org/W2e53x1V/black#125,,6,1,1,2,4
wyTAY,8/3R4/8/6r1/5K2/6r1/6k1/2R5 w - - 11 50,g8g5 d7d2 g2h3 c1h1,1268,76,98,5195,endgame mate mateIn2 rookEndgame short,https://lichess.org/nE19PUQD/black#97,,6,0,2,3,3
mm3lz,8/3r2r1/6k1/3Q4/6P1/8/7K/8 w - - 1 69,e7d7 d5f5 g6h6 f5h5,1268,76,98,2089,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/bsgIJJ2B/black#135,,6,1,2,3,3
izVyx,4R3/8/1bK5/k7/1r6/p7/8/8 w - - 2 60,a6a5 e8a8 b6a7 a8a7,1267,309,33,5,endgame mate mateIn2 short,https://lichess.org/EZYJBsuR/black#117,,6,1,2,2,4
tkqcB,8/4R3/6kp/7N/2K3P1/5r1n/8/8 w - - 5 55,h7g6 e7g7,1255,77,89,463,endgame hookMate mate mateIn1 oneMove,https://lichess.org/IxVpqaCP/black#107,,8,2,1,4,4
y56na,8/8/8/r7/4BK2/8/6Q1/q1k5 w - - 2 61,b2c1 g2c2,1252,78,87,598,endgame mate mateIn1 oneMove,https://lichess.org/kBylvGxm/black#119,,6,0,1,3,3
VYZyL,6R1/5k2/3r1pR1/5r2/2K5/8/8/8 w - - 10 63,d5f5 g6g7 f7e6 g8e8,1242,75,96,1771,endgame mate mateIn2 rookEndgame short,https://lichess.org/sNcngE4M/black#123,,7,1,2,3,4
XsEAg,8/8/6p1/4K2p/5Bbb/7k/4B3/8 w - - 24 57,f5g4 e2f1,1232,100,82,3978,bishopEndgame doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/jFY4sVmX/black#111,,8,2,1,3,5
7nTnr,1r1kb3/R7/3PP3/8/8/2K5/8/8 w - - 9 69,b1b8 e6e7 d8c8 a7c7,1206,77,92,6617,advancedPawn endgame mate mateIn2 short,https://lichess.org/OxczELWF/black#135,,7,2,2,4,3
kh1b5,8/3Bbk2/3pNpR1/8/1r2p3/8/3K4/8 w - - 3 44,f8f7 g6g7,1204,142,73,52,endgame mate mateIn1 oneMove,https://lichess.org/Pg1pN2RN/black#85,,10,3,1,4,6
VXZLI,8/k1pn4/1p1r4/1P6/4R3/2K5/6B1/8 w - - 2 52,b7a7 e4a4 a7b8 a4a8,1198,98,73,48,endgame mate mateIn2 short,https://lichess.org/op2Lgjao/black#101,,9,3,2,4,5
lbByu,8/r3r3/R7/5R2/7k/5K2/8/8 w - - 0 54,a8a7 a6h6,1192,148,67,10,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/UlCopNNG/black#105,,6,0,1,3,3
aBj6t,8/6N1/7p/8/5Knk/7r/8/6R1 w - - 13 65,e3h3 g1g4,1190,77,92,605,endgame mate mateIn1 oneMove,https://lichess.org/Jp9OYieJ/black#127,,7,1,1,3,4
x0tBM,4r3/5R2/3kp3/1R6/3P4/3K4/8/4r3 w - - 7 44,e2e1 b5b6 d6d5 f7d7,1188,77,88,414,endgame mate mateIn2 rookEndgame short,https://lichess.org/ND1f1t7L/black#85,,8,2,2,4,4
7yoiw,8/8/8/4Q3/6PK/8/4qk2/5q2 w - - 4 70,e3f2 e5g3,1178,86,92,599,dovetailMate endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/34wmSwA7/black#137,,6,1,1,3,3
hzj5m,7r/7r/8/8/p7/5RK1/3R2P1/1k6 w - - 8 59,b2b1 f3f1,1173,102,85,38,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/M7LcNCMW/black#115,,8,2,1,4,4
UT2dJ,R7/8/5K2/6rk/6r1/8/8/8 w - - 11 68,h4g4 a8h8,1170,252,67,11,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/sjMZdEL5/black#133,,5,0,1,2,3
YPE4S,7R/2k5/2bNK3/2P2p2/8/8/8/6r1 w - - 15 50,d8c7 h8c8,1156,76,90,1272,endgame hookMate master mate mateIn1 oneMove,https://lichess.org/nOLpbey3/black#97,,8,2,1,4,4
AcVNP,8/R7/2k5/2p2K2/P1r5/8/7r/4R3 w - - 0 37,c3c4 e1e6 c6d5 a7d7,1149,79,93,777,endgame mate mateIn2 rookEndgame short,https://lichess.org/heJwmWCq/black#71,,8,2,2,4,4
2e6Y0,8/3R4/kP6/2K5/2n5/1b6/8/8 w - - 7 57,b7a6 d7a7,1140,85,86,127,endgame mate mateIn1 oneMove,https://lichess.org/824Q2rZj/black#111,,6,1,1,3,3
WxOeU,8/1bBK4/k1r5/4R3/8/8/8/8 w - - 2 78,b6a6 e5a5,1130,106,85,16,endgame mate mateIn1 oneMove,https://lichess.org/SBBXSnLt/black#153,,6,0,1,3,3
PwlBl,2b2kr1/7R/1K1N4/8/8/8/8/8 w - - 0 58,e6c8 h7f7,1125,79,93,280,endgame master mate mateIn1 oneMove,https://lichess.org/aaS1LXmD/black#113,,6,0,1,3,3
xI0ts,8/5r2/7k/4R3/5rRK/8/8/8 w - - 0 59,f6f4 e5h5,1121,76,92,1277,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/nVL3Skud/black#115,,6,0,1,3,3
IVMhI,5k2/4bB2/4P3/8/3p3p/4B3/5K2/3r4 w - - 0 41,d5d4 e3h6,1120,267,54,13,endgame mate mateIn1 oneMove,https://lichess.org/yPiVY5Rm/black#79,,9,3,1,4,5
2WvEa,8/7k/6R1/3N3P/2K2p2/r4r2/8/8 w - - 4 52,g7h7 d5f6 h7h8 g6g8,1120,84,80,137,arabianMate endgame mate mateIn2 short,https://lichess.org/3Ptqxfub/black#101,,8,2,2,4,4
pczNJ,2B2r2/1K6/8/1kb5/p5R1/8/8/8 w - - 0 79,a5a4 c8d7 b5a5 g4a4,1113,76,75,304,endgame master mate mateIn2 short,https://lichess.org/s1JdnsLd/black#155,,7,1,2,3,4
WFgn7,5r2/5pk1/8/3N1PP1/6K1/8/1R6/r7 w - - 0 45,f1a1 f5f6 g7h8 b2h2 h8g8 d5e7,1102,79,93,1129,endgame long master mate mateIn3,https://lichess.org/FGZ656RW/black#87,,9,3,3,5,4
V9ia3,8/p2B3p/5Bk1/4K1P1/1r6/4b3/8/8 w - - 0 47,h4b4 d7e8,1097,78,90,262,endgame mate mateIn1 oneMove,https://lichess.org/YhauUnA6/black#91,,9,3,1,4,5
rVRqp,8/8/8/1K6/8/1Q1N4/1q6/1k4q1 w - - 2 59,c1b2 b3b2,1096,80,79,142,endgame mate mateIn1 oneMove,https://lichess.org/iHtfEwwd/black#115,,6,0,1,3,3
Njs8B,8/8/Q7/8/8/4q2P/3q2BK/4k3 w - - 11 66,e2e1 a6f1,1089,78,79,179,endgame mate mateIn1 oneMove,https://lichess.org/ul019kYt/black#129,,7,1,1,4,3
KXmcQ,5r2/6k1/5N2/b4K2/8/8/7R/8 w - - 18 72,h6g7 h2h7,1084,163,56,40,endgame mate mateIn1 oneMove,https://lichess.org/gA0qlJdu/black#141,,6,0,1,3,3
ztiLD,8/8/8/8/8/7Q/1KP1kq2/4q3 w - - 2 73,f1e2 h3d3,1083,139,100,13,dovetailMate endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/TKyjLfF6/black#143,,6,1,1,3,3
tyEhe,2Q5/kr6/8/2R5/8/2K5/8/1q6 w - - 8 63,b8a7 c5a5 a7b6 c8c5,1077,102,33,23,endgame mate mateIn2 short,https://lichess.org/PhMfMY3C/black#123,,6,0,2,3,3
KX5Ja,7k/R7/5N2/2K1n3/8/1r6/8/8 w - - 0 52,b4b3 a7h7,1075,76,93,5347,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/3NMCHT7M/black#101,,6,0,1,3,3
dHzhK,8/R7/4kP2/2KpPr2/2b5/8/8/8 w - - 7 51,f7e6 a7e7,1070,78,94,715,endgame mate mateIn1 oneMove,https://lichess.org/0l20cH4B/black#99,,8,3,1,4,4
idBwT,8/1R6/2rN4/2k1K1b1/8/8/8/8 w - - 14 68,b6c5 b7b5,1070,75,94,1486,endgame mate mateIn1 oneMove,https://lichess.org/enCCGiwo/black#133,,6,0,1,3,3
Z3FMc,8/8/8/4R3/5r1k/3r1B2/6P1/4K3 w - - 10 57,g5h4 e5h5 h4g3 h5h3,1068,91,75,68,endgame mate mateIn2 short,https://lichess.org/4wgTxAnI/black#111,,7,1,2,4,3
X1kdM,3k4/R2P4/8/5r2/1N2n1p1/8/6K1/8 w - - 6 76,e5f5 b4c6,1067,94,88,20,endgame mate mateIn1 oneMove,https://lichess.org/7tt6ncon/black#149,,8,2,1,4,4
H2OBc,6k1/8/4NPK1/8/6n1/8/8/7r w - - 1 61,h6g4 f6f7 g8h8 f7f8q,1065,79,74,123,advancedPawn deflection endgame mate mateIn2 promotion short,https://lichess.org/ShoUbR8O/black#119,,6,1,2,3,3
