PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,piece_count,pawn_count,what_mate,white_pieces,black_pieces
GavKb,8/5pkp/1R6/4p3/8/3KN3/7r/8 w - - 0 34,a2h2 e3f5 g7h8 b6b8,867,95,94,399,endgame mate mateIn2 short,https://lichess.org/uZiEDgUZ/black#65,,8,3,2,3,5
i4KCA,5bk1/7R/6P1/3pKB2/8/8/3r4/8 w - - 1 46,c5f8 f5e6,865,76,90,310,endgame mate mateIn1 oneMove,https://lichess.org/hLwY4N4B/black#89,,8,2,1,4,4
OHI8p,8/8/1R6/3K4/5r1k/4r3/6R1/8 w - - 11 70,g5h4 b6h6,864,78,82,119,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/ThKn3vFb/black#137,,6,0,1,3,3
6rhp1,7B/8/7R/k1p3p1/2P3r1/1b2K3/8/8 w - - 4 47,a6a5 h8c3 a5a4 h6a6,863,96,92,1277,endgame mate mateIn2 short,https://lichess.org/5xz7pe6r/black#91,,9,3,2,4,5
i6VZI,8/1R6/4pkB1/7K/5P1b/8/8/6r1 w - - 4 57,e7f6 b7f7,859,91,90,88,endgame mate mateIn1 oneMove,https://lichess.org/dSlr1222/black#111,,8,2,1,4,4
rKPZO,5k2/5r2/5P2/R7/p7/1b4B1/5K2/8 w - - 1 69,e7f7 a5a8,858,94,96,455,endgame mate mateIn1 oneMove,https://lichess.org/Nq6QtE6N/black#135,,8,2,1,4,4
i70OW,2k5/ppp2R2/5N2/8/5K2/8/rb6/8 w - - 0 34,a5a2 f7f8,856,108,71,26,endgame mate mateIn1 oneMove,https://lichess.org/TsIvtncT/black#65,,9,3,1,3,6
R49Hx,R5bk/7P/6K1/8/8/8/8/q7 w - - 0 52,a2a1q h7g8q,852,79,96,942,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/PxMmu7dB/black#101,,6,1,1,3,3
9Tl0R,8/6p1/3K1b2/2p2k1r/2N3R1/8/8/8 w - - 4 59,g6f5 c4e3,848,81,91,549,endgame mate mateIn1 oneMove,https://lichess.org/VD47BBzb/black#115,,8,2,1,3,5
r44Qa,8/8/8/2p5/k1Kn4/8/4p3/r3R3 w - - 6 79,a2a1 e1a1,847,110,89,94,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/zFMYg6T0/black#155,,7,2,1,2,5
hIP2U,8/8/8/P7/6K1/1Q4P1/3qk3/4q3 w - - 12 66,d1e2 b3f3,843,84,91,639,dovetailMate endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/Xz06OWjk/black#129,,7,2,1,4,3
Ijb5h,1r6/k7/b2K4/2N5/8/8/R7/8 w - - 10 56,c8b8 a2a6,837,77,97,198,endgame mate mateIn1 oneMove,https://lichess.org/tNQjzPfr/black#109,,6,0,1,3,3
NrrLQ,2k5/1p6/8/B2R3p/n5r1/6P1/7K/8 w - - 0 41,b2a4 d5d8,835,114,82,27,endgame mate mateIn1 oneMove,https://lichess.org/PUeFlko3/black#79,,9,3,1,4,5
r903U,3k4/5p2/2BP4/2b1r3/8/3K3R/8/8 w - - 0 63,e2e5 h3h8 e5e8 h8e8,833,97,86,343,endgame mate mateIn2 short,https://lichess.org/HjhbaanQ/black#123,,8,2,2,4,4
G1X37,8/8/8/4b3/1n4p1/4Bk2/5P2/1N3K2 w - - 3 63,f4f3 b1d2,832,91,93,502,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/rJrODS2s/black#123,,8,2,1,4,4
BGq5y,6k1/8/4NnP1/5b2/R5r1/4n2K/8/8 w - - 4 53,e4f5 a4a8 f6e8 a8e8,832,85,89,467,endgame mate mateIn2 short,https://lichess.org/hYVSNujd/black#103,,9,1,2,4,5
ipXim,1r6/1n6/1R6/8/8/8/5K1k/8 w - - 0 63,c5b7 b6h6,822,91,83,310,endgame mate mateIn1 oneMove,https://lichess.org/eipDBUA3/black#123,,5,0,1,2,3
JU6AX,4k3/3bB2B/3P4/p1r5/8/8/7P/6K1 w - - 0 48,a6a5 h7g6,820,118,71,47,endgame mate mateIn1 oneMove,https://lichess.org/o2tGYhKw/black#93,,9,3,1,5,4
fVHfd,8/6kp/5R2/2N3P1/2r5/8/2b2K2/8 w - - 3 41,f7g7 c5e6 g7h8 f6f8,816,90,95,251,endgame mate mateIn2 short,https://lichess.org/d9S9unmC/black#79,,8,2,2,4,4
jakak,4n2k/5R2/6KN/2r5/8/8/8/8 w - - 35 70,g8h8 f7h7,814,106,47,62,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/MaS8DT6t/black#137,,6,0,1,3,3
YG5Tw,8/4B1b1/6Bk/p4Kp1/7p/8/8/8 w - - 6 49,c3g7 e7g5,811,93,89,259,bishopEndgame endgame master mate mateIn1 oneMove,https://lichess.org/HJkQDPEE/black#95,,8,3,1,3,5
PLD3p,7k/r5p1/8/8/4B3/7P/5RK1/3q4 w - - 0 46,a8a7 f2f8,805,110,79,29,endgame mate mateIn1 oneMove,https://lichess.org/QTPh8FLs/black#89,,8,2,1,4,4
loZDr,1k6/R4R2/K7/1r5r/8/8/8/8 w - - 0 53,d5b5 f7f8,803,77,100,431,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/up88heE0/black#103,,6,0,1,3,3
EepOE,6R1/8/3K2R1/8/8/4rr1k/8/8 w - - 3 71,e5e3 g8h8,800,84,95,757,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/wRnGVVIh/black#139,,6,0,1,3,3
fZkUA,5R2/k7/1q6/3BK3/8/8/1p6/8 w - - 2 58,b8a7 f8a8,796,85,96,607,endgame mate mateIn1 oneMove,https://lichess.org/kfSvjK1R/black#113,,6,1,1,3,3
49pQu,8/7R/3kn3/1r1pN3/3P4/8/5K2/8 w - - 4 50,f4e6 h7d7,788,93,95,620,endgame hookMate mate mateIn1 oneMove,https://lichess.org/ikm7FqAd/black#97,,8,2,1,4,4
ja1LR,r7/8/4N1pk/4K1n1/8/8/8/5R2 w - - 11 60,g7h6 f1h1 g5h3 h1h3,782,88,80,511,anastasiaMate endgame mate mateIn2 short,https://lichess.org/cqcSG9aw/black#117,,7,1,2,3,4
PwYF4,R7/8/8/8/8/4K3/3n4/4kq2 w - - 0 98,f2f1q a8a1 d2b1 a1b1,774,87,82,206,endgame mate mateIn2 short,https://lichess.org/98OW1ODn/black#193,,5,0,2,2,3
6iq4u,8/8/8/8/7N/1R5n/5K2/r6k w - - 3 51,f4h3 b3h3,764,77,98,1478,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/nTiwFUtd/black#99,,6,0,1,3,3
1bJcc,7k/8/1q3NK1/4N3/8/8/8/8 w - - 8 61,a7b6 e5f7,760,93,89,280,endgame master mate mateIn1 oneMove superGM,https://lichess.org/vUSwYXjq/black#119,,5,0,1,3,2
4cLvi,6B1/2R4p/6pk/8/5P1r/4K2b/8/8 w - - 2 50,g2h3 c7h7,747,86,75,42,endgame mate mateIn1 oneMove,https://lichess.org/FGvNqnEH/black#97,,9,3,1,4,5
wwWPU,3R4/8/1pK5/k7/rb6/8/8/8 w - - 62 84,c3b4 d8a8,738,86,95,494,endgame mate mateIn1 oneMove,https://lichess.org/iiUlQAWm/black#165,,6,1,1,2,4
GApMI,1R6/8/4n3/1P6/k1K5/8/r7/8 w - - 0 67,a5a4 b8a8,734,93,84,413,endgame mate mateIn1 oneMove,https://lichess.org/D8nmW6Nj/black#131,,6,1,1,3,3
ZngKu,6k1/7p/4K1bB/8/R7/8/8/7r w - - 9 68,f1h1 a4a8 g6e8 a8e8,734,105,83,607,endgame mate mateIn2 short,https://lichess.org/gakzwXsH/black#133,,7,1,2,3,4
5dk1Y,5R1N/8/8/8/8/1K6/8/qk6 w - - 0 82,a2a1q f8f1,720,103,82,38,endgame master mate mateIn1 oneMove,https://lichess.org/yc4EKEMc/black#161,,5,0,1,3,2
cav4Z,6k1/5p2/6p1/1R5p/3B4/4K3/7r/8 w - - 0 43,g2h2 b5b8 g8h7 b8h8,718,99,82,80,endgame mate mateIn2 short,https://lichess.org/IKbgc6Co/black#83,,8,3,2,3,5
1Sq8m,5k2/6pp/3N4/4R3/1r2p3/4K3/8/8 w - - 2 40,g8f8 e5e8,716,87,86,59,endgame mate mateIn1 oneMove,https://lichess.org/1m2bcsET/black#77,,8,3,1,3,5
pr4vJ,3R4/5p2/5Nk1/5bPp/8/6K1/8/5r2 w - - 0 54,e6f5 d8g8,705,105,91,385,endgame master mate mateIn1 oneMove,https://lichess.org/lmBOkjnO/black#105,,9,3,1,4,5
d0LIX,2k5/2b1R3/1KN5/3r4/8/8/8/8 w - - 2 65,f4c7 e7c7,704,77,94,478,endgame master mate mateIn1 oneMove,https://lichess.org/j3IsYcQD/black#127,,6,0,1,3,3
zbXNz,8/8/6pp/5r1k/7r/7K/5Q2/8 w - - 0 54,g4h4 f2h4,701,92,68,104,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/wXvOo1mV/black#105,,7,2,1,2,5
TJJJs,8/8/4R3/5Pk1/6P1/1r4P1/2K5/2n5 w - - 2 44,f6g5 e6g6,699,82,100,173,endgame mate mateIn1 oneMove,https://lichess.org/w8tO6m2h/black#85,,8,3,1,5,3
6xmc3,7k/7p/4RP2/5r2/1b6/8/K7/8 w - - 1 41,b5f5 e6e8 b4f8 e8f8,670,97,89,203,endgame mate mateIn2 short,https://lichess.org/Dy6aAE2T/black#79,,7,2,2,3,4
im8Bu,8/1R6/p1pk4/3p4/3K2B1/8/6r1/8 w - - 0 47,a2g2 b7d7,662,97,95,192,endgame mate mateIn1 oneMove,https://lichess.org/5UdUowhP/black#91,,8,3,1,3,5
3VrqW,8/8/8/8/8/2K3R1/5r2/1qk5 w - - 0 62,b2b1q g3g1 f2f1 g1f1,661,107,90,935,endgame master mate mateIn2 queenRookEndgame short,https://lichess.org/fjA3MgqC/black#121,,5,0,2,2,3
C4lbT,R7/8/2n2K2/7k/6r1/8/8/8 w - - 17 75,g5g4 a8h8,655,111,88,601,endgame master mate mateIn1 oneMove,https://lichess.org/ZwvBICwY/black#147,,5,0,1,2,3
FETOQ,6rk/4n3/4N3/2K5/8/R7/8/8 w - - 1 64,c8e7 a3h3,653,87,91,355,endgame mate mateIn1 oneMove,https://lichess.org/atEUTQpm/black#125,,6,0,1,3,3
Hi9NN,8/5R2/p7/5B1k/5P2/r3n3/4K3/8 w - - 5 47,g4e3 f7h7,652,82,80,221,endgame mate mateIn1 oneMove,https://lichess.org/YygbTVZG/black#91,,8,2,1,4,4
Yscf5,2R5/8/8/8/8/8/rr6/1k1K4 w - - 28 78,b3b2 c8c1,652,84,81,265,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/dZFXpA7c/black#153,,5,0,1,2,3
KW0UH,5k2/5B2/4R1K1/8/8/4n3/5r2/8 w - - 9 60,e7f8 e6e8,651,93,87,199,endgame mate mateIn1 oneMove,https://lichess.org/BxiloBeP/black#117,,6,0,1,3,3
2ifeu,8/5R2/6p1/5n2/4N2k/7P/r7/6K1 w - - 9 45,g5h4 f7h7 f5h6 h7h6,644,77,98,391,endgame mate mateIn2 short,https://lichess.org/V6RKIiQd/black#87,,8,2,2,4,4
SAKUK,8/8/8/8/6r1/3b3k/4pK2/4R3 w - - 2 59,e4d3 e1h1,629,80,98,685,endgame mate mateIn1 oneMove,https://lichess.org/l06cHuVl/black#115,,6,1,1,2,4
Ubdui,8/8/R7/1p3kp1/4b3/2B1n1K1/8/8 w - - 3 43,c4e3 a6f6,619,95,96,695,endgame mate mateIn1 oneMove,https://lichess.org/pCqbkPkH/black#83,,8,2,1,3,5
Z6St5,8/8/7R/kPb5/1rP5/3K4/8/8 w - - 7 60,b6a5 h6a6,614,88,80,182,endgame mate mateIn1 oneMove,https://lichess.org/gPpsf9YG/black#117,,7,2,1,4,3
ufmqr,7R/k1r5/pb6/8/4BK2/8/8/8 w - - 6 55,b7a7 h8a8,614,91,80,131,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/R9Hecyhl/black#107,,7,1,1,3,4
5F6mx,1r6/2R5/kP6/2K5/8/8/8/q7 w - - 4 66,a8b8 c7a7,610,82,100,506,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/SjGasjr2/black#129,,6,1,1,3,3
TuV59,5k2/4pp2/3p2n1/8/8/RKB4r/8/8 w - - 1 48,h5h3 a3a8,608,107,65,160,endgame mate mateIn1 oneMove,https://lichess.org/kpnIZ41v/black#93,,9,3,1,3,6
KX7yd,3k4/R4R1K/6r1/8/8/8/6r1/8 w - - 1 56,g5g2 f7f8,602,82,100,117,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/pG3gAdnx/black#109,,6,0,1,3,3
cljpu,6k1/6p1/2R3P1/1r3P2/4K3/8/8/6b1 w - - 0 56,b7b5 c6c8,598,100,67,111,endgame mate mateIn1 oneMove,https://lichess.org/8zZSkEGK/black#109,,8,3,1,4,4
H39yc,8/6B1/R7/2n3pk/5r2/7P/6K1/8 w - - 1 41,b3c5 a6h6,598,98,80,352,endgame master mate mateIn1 oneMove,https://lichess.org/DlFrUM5D/black#79,,8,2,1,4,4
ngHTe,8/2b5/8/7p/6kP/6P1/4n1K1/5N2 w - - 10 56,d4e2 f1e3,587,86,100,309,endgame mate mateIn1 oneMove,https://lichess.org/c4lYxfPw/black#109,,8,3,1,4,4
fdoQd,8/6r1/5R2/6P1/5K2/5B2/5r1k/8 w - - 1 62,g1h2 f6h6 h2g1 h6h1,585,92,93,472,endgame master mate mateIn2 short,https://lichess.org/JSQT85ea/black#121,,7,1,2,4,3
6SmuG,7k/R7/8/8/1r6/4r3/5R2/5K2 w - - 0 54,b3b4 f2f8,581,81,100,230,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/xBqH00vv/black#105,,6,0,1,3,3
PiSNW,5N1k/5K2/5N2/8/8/8/8/7q w - - 0 138,h2h1q f8g6,573,97,94,160,endgame mate mateIn1 oneMove,https://lichess.org/XLXez7KX/black#273,,5,0,1,3,2
MJz7L,R7/6n1/5p1k/p4P2/8/r4N2/5K2/8 w - - 3 53,h5g7 a8h8,563,81,69,156,endgame mate mateIn1 oneMove,https://lichess.org/bYEgC5F3/black#103,,9,3,1,4,5
8l6yd,5k2/6p1/R5P1/4bN2/8/5K2/8/6r1 w - - 9 57,e7f8 a6a8 e5b8 a8b8,553,88,98,511,endgame mate mateIn2 short,https://lichess.org/IPSxVNfi/black#111,,8,2,2,4,4
RD2bc,1k6/qr6/8/3Q4/4P1P1/5PK1/8/8 w - - 6 67,b6a7 d5d8,551,81,85,107,endgame mate mateIn1 oneMove,https://lichess.org/anEk8N5N/black#131,,8,3,1,5,3
w21t6,8/5R2/kP1K4/2P3r1/2P1b3/8/8/8 w - - 9 69,b7a6 f7a7,533,96,92,414,endgame mate mateIn1 oneMove,https://lichess.org/RI3nMF1R/black#135,,8,3,1,5,3
v4WAP,5r2/4R3/6pk/6N1/r3N3/4K3/8/8 w - - 9 50,g7h6 e7h7,531,90,88,470,endgame mate mateIn1 oneMove,https://lichess.org/QqbFSulY/black#97,,8,1,1,4,4
Ao2rc,2R5/1r6/8/8/8/2K5/k7/1q6 w - - 0 70,b2b1q c8a8 b7a7 a8a7,516,97,74,286,endgame master masterVsMaster mate mateIn2 queenRookEndgame short,https://lichess.org/KzMcyvDK/black#137,,5,0,2,2,3
Rtsn1,8/5R2/8/2K5/2N5/2r5/2r5/2k5 w - - 1 56,d3c3 f7f1,493,99,90,303,endgame mate mateIn1 oneMove,https://lichess.org/KPsvL7jn/black#109,,6,0,1,3,3
muumO,8/6b1/7k/5K2/5P2/7r/7R/8 w - - 2 48,e3h3 h2h3,457,96,88,124,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/uzetK1HL/black#93,,6,1,1,3,3
yb6Ts,8/4R3/5p1k/6p1/7p/1K1B4/3r4/8 w - - 2 42,g7h6 e7h7,450,90,71,119,endgame mate mateIn1 oneMove,https://lichess.org/C14k14nb/black#81,,8,3,1,3,5
7jyWH,8/1R6/4K2k/p4Bb1/8/8/8/3r4 w - - 16 62,g7h6 b7h7,430,95,86,145,endgame mate mateIn1 oneMove,https://lichess.org/moI5NVwu/black#121,,7,1,1,3,4
K1c46,4R3/5r1k/6b1/1p6/3B2K1/8/8/8 w - - 13 58,h6h7 e8h8,400,92,100,959,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/6FaZvzof/black#113,,7,1,1,3,4
